Submission,n8975698

Test Type,Name,Failed,Passed,Total,Not used,Not used,Comments
Submitted test against Buggy impl,brokenLogs_Fails_AddEntry_NewEntryMinimum,5,18,23
Submitted test against Buggy impl,brokenLogs_Fails_AddEntry_NewEntryNormal_MultipleItems_LogFull,4,19,23
Submitted test against Buggy impl,brokenLogs_Fails_AddEntry_NewEntryNormal_Single,10,13,23
Submitted test against Buggy impl,brokenLogs_Fails_AddEntry_NewEntryNormal_TwoItemsAscending,9,14,23
Submitted test against Buggy impl,brokenLogs_Fails_AddEntry_NewEntryNormal_TwoItemsDescending,7,16,23
Submitted test against Buggy impl,brokenLogs_Fails_ConstructorBothArgsMinimumValid_WindowSize,3,20,23
Submitted test against Buggy impl,brokenLogs_Fails_ConstructorBothArgsNormal,13,10,23
Submitted test against Buggy impl,brokenLogs_Fails_ConstructorValidationTests_MaxEntry,5,18,23
Submitted test against Buggy impl,brokenLogs_Fails_ConstructorValidationTests_WindowSize,5,18,23
Submitted test against Buggy impl,brokenLogs_Fails_ConstuctorBothArgsMinimumValid_MaxEntry,3,20,23
Submitted test against Buggy impl,brokenLogs_Fails_GetEntry_EmptyLog_AllEntriesNull,4,19,23
Submitted test against Buggy impl,brokenLogs_Fails_GetEntry_NullOnUnderfullWindow,4,19,23
Submitted test against Buggy impl,brokenLogs_Fails_GetEntry_Validation_IndexNegative,5,18,23
Submitted test against Buggy impl,brokenLogs_Fails_GetEntry_Validation_IndexPositive,4,19,23
Submitted test against Buggy impl,brokenLogs_Fails_IndependentLogs,3,20,23
Submitted test against Buggy impl,brokenLogs_Fails_InitialiseNumEntries,5,18,23
Submitted test against Buggy impl,brokenLogs_Fails_NumEntriesCorrect,10,13,23
Submitted test against Buggy impl,brokenLogs_Fails_Variation_ErrorOnEmptyLog,4,19,23
Submitted test against Buggy impl,brokenLogs_Fails_Variation_MultipleItems_Zero,8,15,23
Submitted test against Buggy impl,brokenLogs_Fails_Variation_NegativeForFullWindow,5,18,23
Submitted test against Buggy impl,brokenLogs_Fails_Variation_NegativeVariation_FullWindow,3,20,23
Submitted test against Buggy impl,brokenLogs_Fails_Variation_NegativeVariation_UnderfullWindow,9,14,23
Submitted test against Buggy impl,brokenLogs_Fails_Variation_PositiveVariation_FullWindow,6,17,23
Submitted test against Buggy impl,brokenLogs_Fails_Variation_PositiveVariation_UnderfullWindow,6,17,23
Submitted test against Buggy impl,brokenLogs_Fails_Variation_SingleItem,4,19,23
